Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,03/28/2020,110,4,2,33,65
,Albania,,197,10,31,41.1533,20.1683
,Algeria,,454,29,31,28.0339,1.6596
,Andorra,,308,3,1,42.5063,1.5218
,Angola,,5,0,0,-11.2027,17.8739
,Antigua and Barbuda,,7,0,0,17.0608,-61.7964
,Argentina,,690,18,72,-38.4161,-63.6167
,Armenia,,407,1,30,40.0691,45.0382
Australian Capital Territory,Australia,,71,0,2,-35.4735,149.0124
New South Wales,Australia,,1617,8,4,-33.8688,151.2093
Northern Territory,Australia,,15,0,0,-12.4634,130.8456
Queensland,Australia,,625,1,8,-28.0167,153.4
South Australia,Australia,,287,0,6,-34.9285,138.6007
Tasmania,Australia,,62,0,5,-41.4545,145.9707
Victoria,Australia,,685,3,191,-37.8136,144.9631
Western Australia,Australia,,278,2,28,-31.9505,115.8605
,Austria,,8271,68,225,47.5162,14.5501
,Azerbaijan,,182,4,15,40.1431,47.5769
,Bahamas,,10,0,1,25.0343,-77.3963
,Bahrain,,476,4,265,26.0275,50.55
,Bangladesh,,48,5,15,23.685,90.3563
,Barbados,,26,0,0,13.1939,-59.5432
,Belarus,,94,0,32,53.7098,27.9534
,Belgium,,9134,353,1063,50.8333,4
,Benin,,6,0,0,9.3077,2.3158
,Bhutan,,3,0,0,27.5142,90.4336
,Bolivia,,74,0,0,-16.2902,-63.5887
,Bosnia and Herzegovina,,258,5,0,43.9159,17.6791
,Brazil,,3904,111,5,-14.235,-51.9253
,Brunei,,120,1,6,4.5353,114.7277
,Bulgaria,,331,7,25,42.7339,25.4858
,Burkina Faso,,207,11,11,12.2383,-1.5616
,Cabo Verde,,5,1,21,16.5388,-23.0418
,Cambodia,,99,0,0,11.55,104.9167
,Cameroon,,91,2,13,3.848,11.5021
Alberta,Canada,,542,2,2,53.9333,-116.5765
British Columbia,Canada,,884,17,466,49.2827,-123.1207
Grand Princess,Canada,,13,0,0,37.6489,-122.6655
Manitoba,Canada,,64,1,0,53.7609,-98.8139
New Brunswick,Canada,,51,0,61,46.5653,-66.4619
Newfoundland and Labrador,Canada,,120,0,984,53.1355,-57.6604
Nova Scotia,Canada,,110,0,410,44.682,-63.7443
Ontario,Canada,,1144,18,570,51.2538,-85.3232
Prince Edward Island,Canada,,11,0,295,46.5107,-63.4168
Quebec,Canada,,2498,22,125,52.9399,-73.5491
Saskatchewan,Canada,,134,0,1341,52.9399,-106.4509
,Central African Republic,,3,0,250,6.6111,20.9394
,Chad,,3,0,144,15.4542,18.7322
,Chile,,1909,6,168,-35.6751,-71.543
Anhui,China,,990,6,310,31.8257,117.2264
Beijing,China,,573,8,469,40.1824,116.4142
Chongqing,China,,578,6,1251,30.0572,107.874
Fujian,China,,337,1,112,26.0789,117.9874
Gansu,China,,136,2,62098,37.8099,101.0583
Guangdong,China,,1467,8,1014,23.3417,113.4244
Guangxi,China,,254,2,74,23.8298,108.7881
Guizhou,China,,146,2,631,26.8154,106.8748
Hainan,China,,168,6,934,19.1959,109.7453
Hebei,China,,319,6,92,39.549,116.1306
Heilongjiang,China,,484,13,124,47.862,127.7615
Henan,China,,1275,22,10,33.882,113.614
Hong Kong,China,,561,4,75,22.3,114.2
Hubei,China,,67801,3177,18,30.9756,112.2707
Hunan,China,,1018,4,242,27.6104,111.7088
Inner Mongolia,China,,94,1,752,44.0935,113.9448
Jiangsu,China,,641,0,334,32.9711,119.455
Jiangxi,China,,936,1,133,27.614,115.7221
