Province/State,Country/Region,Last update,confirmed,death,recovered,Lat,Long
,Eritrea,03/27/2020,6,0,0,15.1794,39.7823
,Estonia,03/27/2020,575,1,0,58.5953,25.0136
,Eswatini,03/27/2020,9,0,0,-26.5225,31.4659
,Ethiopia,03/27/2020,16,0,0,9.145,40.4897
,Fiji,03/27/2020,5,0,1,-17.7134,178.065
,Finland,03/27/2020,1041,7,0,64,26
French Guiana,France,03/27/2020,28,0,0,3.9339,-53.1258
French Polynesia,France,03/27/2020,30,0,5700,-17.6797,149.4068
Guadeloupe,France,03/27/2020,73,1,0,16.25,-61.5833
Mayotte,France,03/27/2020,50,0,0,-12.8275,45.1662
New Caledonia,France,03/27/2020,15,0,14,-20.9043,165.618
Reunion,France,03/27/2020,145,0,6658,-21.1351,55.2471
Saint Barthelemy,France,03/27/2020,5,0,2,17.9,-62.8333
St Martin,France,03/27/2020,11,0,0,18.0708,-63.0501
Martinique,France,03/27/2020,81,1,52,14.6415,-61.0242
,France,03/27/2020,32964,1995,4,46.2276,2.2137
,Gabon,03/27/2020,7,1,0,-0.8037,11.6094
,Gambia,03/27/2020,3,1,0,13.4432,-15.3101
,Georgia,03/27/2020,83,0,0,42.3154,43.3569
,Germany,03/27/2020,50871,342,0,51,9
,Ghana,03/27/2020,137,4,0,7.9465,-1.0232
,Greece,03/27/2020,966,28,0,39.0742,21.8243
,Guatemala,03/27/2020,28,1,34,15.7835,-90.2308
,Guinea,03/27/2020,8,0,97,9.9456,-9.6966
,Guyana,03/27/2020,5,1,73,5,-58.75
,Haiti,03/27/2020,8,0,46,18.9712,-72.2852
,Holy See,03/27/2020,4,0,11133,41.9029,12.4534
,Honduras,03/27/2020,68,1,122,15.2,-86.2419
,Hungary,03/27/2020,300,10,5,47.1625,19.5033
,Iceland,03/27/2020,890,2,79,64.9631,-19.0208
,India,03/27/2020,887,20,10950,21,78
,Indonesia,03/27/2020,1046,87,2,-0.7893,113.9213
,Iran,03/27/2020,32332,2378,372,32,53
,Iraq,03/27/2020,458,40,18,33,44
,Ireland,03/27/2020,2121,22,3,53.1424,-7.6921
,Israel,03/27/2020,3035,12,1,31,35
,Italy,03/27/2020,86498,9134,4528,43,12
,Jamaica,03/27/2020,26,1,57,18.1096,-77.2975
,Japan,03/27/2020,1468,49,0,36,138
,Jordan,03/27/2020,235,1,1,31.24,36.51
,Kazakhstan,03/27/2020,150,1,27,48.0196,66.9237
,Kenya,03/27/2020,31,1,0,-0.0236,37.9062
,"Korea, South",03/27/2020,9332,139,0,36,128
,Kuwait,03/27/2020,225,0,0,29.5,47.75
,Kyrgyzstan,03/27/2020,58,0,1,41.2044,74.7661
,Latvia,03/27/2020,280,0,40,56.8796,24.6032
,Lebanon,03/27/2020,391,8,0,33.8547,35.8623
,Liberia,03/27/2020,3,0,259,6.4281,-9.4295
,Liechtenstein,03/27/2020,56,0,9,47.14,9.55
,Lithuania,03/27/2020,358,5,0,55.1694,23.8813
,Luxembourg,03/27/2020,1605,15,2,49.8153,6.1296
,Madagascar,03/27/2020,26,0,0,-18.7669,46.8691
,Malaysia,03/27/2020,2161,26,0,2.5,112.5
,Maldives,03/27/2020,16,0,4,3.2028,73.2207
,Malta,03/27/2020,139,0,2,35.9375,14.3754
,Mauritania,03/27/2020,3,0,1,21.0079,10.9408
,Mauritius,03/27/2020,94,2,0,-20.2,57.5
,Mexico,03/27/2020,585,8,0,23.6345,-102.5528
,Moldova,03/27/2020,199,2,11,47.4116,28.3699
,Monaco,03/27/2020,42,0,0,43.7333,7.4167
,Mongolia,03/27/2020,11,0,2,46.8625,103.8467
,Montenegro,03/27/2020,82,1,1,42.5,19.3
,Morocco,03/27/2020,345,23,1,31.7917,-7.0926
,Namibia,03/27/2020,8,0,2,-22.9576,18.4904
,Nepal,03/27/2020,4,0,0,28.1667,84.25
Aruba,Netherlands,03/27/2020,33,0,3,12.5186,-70.0358
Curacao,Netherlands,03/27/2020,8,1,37,12.1696,-68.99
Sint Maarten,Netherlands,03/27/2020,3,0,0,18.0425,-63.0548
,Netherlands,03/27/2020,8603,546,0,52.1326,5.2913
,New Zealand,03/27/2020,368,0,3,-40.9006,174.886
,Nicaragua,03/27/2020,2,1,3,12.8654,-85.2072
,Niger,03/27/2020,10,1,6,17.6078,8.0817
,Nigeria,03/27/2020,70,1,23,9.082,8.6753
,North Macedonia,03/27/2020,219,3,23,41.6086,21.7453
,Norway,03/27/2020,3755,19,2,60.472,8.4689
,Oman,03/27/2020,131,0,0,21,57
,Pakistan,03/27/2020,1373,11,1,30.3753,69.3451
,Panama,03/27/2020,674,9,16,8.538,-80.7821
,Papua New Guinea,03/27/2020,1,0,31,-6.315,143.9555
