Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/09/2020,484,15,32,33,65
,Albania,04/09/2020,409,23,165,41.1533,20.1683
,Algeria,04/09/2020,1666,235,347,28.0339,1.6596
,Andorra,04/09/2020,583,25,58,42.5063,1.5218
,Angola,04/09/2020,19,2,2,-11.2027,17.8739
,Antigua and Barbuda,04/09/2020,19,2,0,17.0608,-61.7964
,Argentina,04/09/2020,1795,72,365,-38.4161,-63.6167
,Armenia,04/09/2020,921,10,138,40.0691,45.0382
Australian Capital Territory,Australia,04/09/2020,100,2,47,-35.4735,149.0124
New South Wales,Australia,04/09/2020,2773,21,4,-33.8688,151.2093
Northern Territory,Australia,04/09/2020,28,0,2,-12.4634,130.8456
Queensland,Australia,04/09/2020,953,4,345,-28.0167,153.4
South Australia,Australia,04/09/2020,420,3,120,-34.9285,138.6007
Tasmania,Australia,04/09/2020,111,3,48,-41.4545,145.9707
Victoria,Australia,04/09/2020,1228,12,736,-37.8136,144.9631
Western Australia,Australia,04/09/2020,495,6,170,-31.9505,115.8605
,Austria,04/09/2020,13244,295,5240,47.5162,14.5501
,Azerbaijan,04/09/2020,926,9,101,40.1431,47.5769
,Bahamas,04/09/2020,41,8,5,25.0343,-77.3963
,Bahrain,04/09/2020,887,5,519,26.0275,50.55
,Bangladesh,04/09/2020,424,27,33,23.685,90.3563
,Barbados,04/09/2020,66,3,11,13.1939,-59.5432
,Belarus,04/09/2020,1486,16,139,53.7098,27.9534
,Belgium,04/09/2020,24983,2523,5164,50.8333,4
,Benin,04/09/2020,26,1,0,9.3077,2.3158
,Bhutan,04/09/2020,5,0,5,27.5142,90.4336
,Bolivia,04/09/2020,264,18,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/09/2020,858,35,2,43.9159,17.6791
,Brazil,04/09/2020,18092,950,101,-14.235,-51.9253
,Brunei,04/09/2020,135,1,173,4.5353,114.7277
,Bulgaria,04/09/2020,618,24,92,42.7339,25.4858
,Burkina Faso,04/09/2020,443,24,48,12.2383,-1.5616
,Cabo Verde,04/09/2020,7,1,146,16.5388,-23.0418
,Cambodia,04/09/2020,119,0,1,11.55,104.9167
,Cameroon,04/09/2020,730,10,62,3.848,11.5021
Alberta,Canada,04/09/2020,1423,29,60,53.9333,-116.5765
British Columbia,Canada,04/09/2020,1336,48,5162,49.2827,-123.1207
Grand Princess,Canada,04/09/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,04/09/2020,221,3,2,53.7609,-98.8139
New Brunswick,Canada,04/09/2020,108,0,1274,46.5653,-66.4619
Newfoundland and Labrador,Canada,04/09/2020,232,2,984,53.1355,-57.6604
Nova Scotia,Canada,04/09/2020,342,1,464,44.682,-63.7443
Ontario,Canada,04/09/2020,5759,200,570,51.2538,-85.3232
Prince Edward Island,Canada,04/09/2020,25,0,308,46.5107,-63.4168
Quebec,Canada,04/09/2020,10912,216,135,52.9399,-73.5491
Saskatchewan,Canada,04/09/2020,271,3,1423,52.9399,-106.4509
,Central African Republic,04/09/2020,8,0,252,6.6111,20.9394
,Chad,04/09/2020,11,0,144,15.4542,18.7322
,Chile,04/09/2020,5972,57,162,-35.6751,-71.543
Anhui,China,04/09/2020,991,6,313,31.8257,117.2264
Beijing,China,04/09/2020,588,8,470,40.1824,116.4142
Chongqing,China,04/09/2020,579,6,1252,30.0572,107.874
Fujian,China,04/09/2020,351,1,293,26.0789,117.9874
Gansu,China,04/09/2020,139,2,64187,37.8099,101.0583
Guangdong,China,04/09/2020,1539,8,1014,23.3417,113.4244
Guangxi,China,04/09/2020,254,2,79,23.8298,108.7881
Guizhou,China,04/09/2020,146,2,633,26.8154,106.8748
Hainan,China,04/09/2020,168,6,935,19.1959,109.7453
Hebei,China,04/09/2020,327,6,93,39.549,116.1306
Heilongjiang,China,04/09/2020,609,13,132,47.862,127.7615
Henan,China,04/09/2020,1276,22,10,33.882,113.614
Hong Kong,China,04/09/2020,973,4,75,22.3,114.2
Hubei,China,04/09/2020,67803,3215,18,30.9756,112.2707
Hunan,China,04/09/2020,1019,4,246,27.6104,111.7088
Inner Mongolia,China,04/09/2020,126,1,756,44.0935,113.9448
Jiangsu,China,04/09/2020,651,0,422,32.9711,119.455
Jiangxi,China,04/09/2020,937,1,134,27.614,115.7221
Jilin,China,04/09/2020,98,1,541,43.6661,126.1923
Liaoning,China,04/09/2020,144,2,152,41.2956,122.6085
Macau,China,04/09/2020,45,0,1,22.1667,113.55
Ningxia,China,04/09/2020,75,0,73,37.2692,106.1655
Qinghai,China,04/09/2020,18,0,173,35.7452,95.9956
Shaanxi,China,04/09/2020,256,3,1235,35.1917,108.8701
Shandong,China,04/09/2020,783,7,174,36.3427,118.1498
Shanghai,China,04/09/2020,552,7,5,31.202,121.4491
Shanxi,China,04/09/2020,166,0,9,37.5777,112.2922
Sichuan,China,04/09/2020,560,3,30,30.6171,102.7103
Tianjin,China,04/09/2020,182,3,52,39.3054,117.323
Tibet,China,04/09/2020,1,0,219,31.6927,88.0924
Xinjiang,China,04/09/2020,76,3,619,41.1129,85.2401
Yunnan,China,04/09/2020,184,2,28,24.974,101.487
