Province/State,Country/Region,last_update,confirmed,deaths,recovered,Lat,Long
,Equatorial Guinea,04/08/2020,18,0,0,1.5,10
,Eritrea,04/08/2020,33,0,43,15.1794,39.7823
,Estonia,04/08/2020,1185,24,50,58.5953,25.0136
,Eswatini,04/08/2020,12,0,22,-26.5225,31.4659
,Ethiopia,04/08/2020,55,2,1,9.145,40.4897
,Fiji,04/08/2020,15,0,40,-17.7134,178.065
,Finland,04/08/2020,2487,40,1,64,26
French Guiana,France,04/08/2020,77,0,7,3.9339,-53.1258
French Polynesia,France,04/08/2020,51,0,21254,-17.6797,149.4068
Guadeloupe,France,04/08/2020,141,8,1,16.25,-61.5833
Mayotte,France,04/08/2020,171,2,2,-12.8275,45.1662
New Caledonia,France,04/08/2020,18,0,50,-20.9043,165.618
Reunion,France,04/08/2020,358,0,46300,-21.1351,55.2471
Saint Barthelemy,France,04/08/2020,6,0,34,17.9,-62.8333
St Martin,France,04/08/2020,32,2,0,18.0708,-63.0501
Martinique,France,04/08/2020,154,6,269,14.6415,-61.0242
,France,04/08/2020,112950,10869,17,46.2276,2.2137
,Gabon,04/08/2020,34,1,5,-0.8037,11.6094
,Gambia,04/08/2020,4,1,0,13.4432,-15.3101
,Georgia,04/08/2020,211,3,8,42.3154,43.3569
,Germany,04/08/2020,113296,2349,0,51,9
,Ghana,04/08/2020,313,6,2,7.9465,-1.0232
,Greece,04/08/2020,1884,83,6,39.0742,21.8243
,Guatemala,04/08/2020,87,3,94,15.7835,-90.2308
,Guinea,04/08/2020,164,0,633,9.9456,-9.6966
,Guyana,04/08/2020,37,6,506,5,-58.75
,Haiti,04/08/2020,27,1,222,18.9712,-72.2852
,Holy See,04/08/2020,8,0,29812,41.9029,12.4534
,Honduras,04/08/2020,312,22,452,15.2,-86.2419
,Hungary,04/08/2020,895,58,25,47.1625,19.5033
,Iceland,04/08/2020,1616,6,801,64.9631,-19.0208
,India,04/08/2020,5916,178,26491,21,78
,Indonesia,04/08/2020,2956,240,10,-0.7893,113.9213
,Iran,04/08/2020,64586,3993,622,32,53
,Iraq,04/08/2020,1202,69,150,33,44
,Ireland,04/08/2020,6074,235,54,53.1424,-7.6921
,Israel,04/08/2020,9404,73,9,31,35
,Italy,04/08/2020,139422,17669,6776,43,12
,Jamaica,04/08/2020,63,4,111,18.1096,-77.2975
,Japan,04/08/2020,4257,93,33,36,138
,Jordan,04/08/2020,358,6,16,31.24,36.51
,Kazakhstan,04/08/2020,727,7,62,48.0196,66.9237
,Kenya,04/08/2020,179,6,3,-0.0236,37.9062
,"Korea, South",04/08/2020,10384,200,8,36,128
,Kuwait,04/08/2020,855,1,55,29.5,47.75
,Kyrgyzstan,04/08/2020,270,4,8,41.2044,74.7661
,Latvia,04/08/2020,577,2,500,56.8796,24.6032
,Lebanon,04/08/2020,576,19,11,33.8547,35.8623
,Liberia,04/08/2020,31,4,1487,6.4281,-9.4295
,Liechtenstein,04/08/2020,78,1,13,47.14,9.55
,Lithuania,04/08/2020,912,15,16,55.1694,23.8813
,Luxembourg,04/08/2020,3034,46,16,49.8153,6.1296
,Madagascar,04/08/2020,93,0,2,-18.7669,46.8691
,Malaysia,04/08/2020,4119,65,19,2.5,112.5
,Maldives,04/08/2020,19,0,633,3.2028,73.2207
,Malta,04/08/2020,299,1,40,35.9375,14.3754
,Mauritania,04/08/2020,6,1,4,21.0079,10.9408
,Mauritius,04/08/2020,273,7,4,-20.2,57.5
,Mexico,04/08/2020,2785,141,4,23.6345,-102.5528
,Moldova,04/08/2020,1174,27,97,47.4116,28.3699
,Monaco,04/08/2020,81,1,1,43.7333,7.4167
,Mongolia,04/08/2020,16,0,3,46.8625,103.8467
,Montenegro,04/08/2020,248,2,1,42.5,19.3
,Morocco,04/08/2020,1275,93,14,31.7917,-7.0926
,Namibia,04/08/2020,16,0,7,-22.9576,18.4904
,Nepal,04/08/2020,9,0,1,28.1667,84.25
Aruba,Netherlands,04/08/2020,77,0,250,12.5186,-70.0358
Curacao,Netherlands,04/08/2020,14,1,282,12.1696,-68.99
Sint Maarten,Netherlands,04/08/2020,40,6,0,18.0425,-63.0548
,Netherlands,04/08/2020,20549,2248,28,52.1326,5.2913
,New Zealand,04/08/2020,1210,1,44,-40.9006,174.886
,Nicaragua,04/08/2020,6,1,35,12.8654,-85.2072
,Niger,04/08/2020,342,11,32,17.6078,8.0817
,Nigeria,04/08/2020,276,6,72,9.082,8.6753
,North Macedonia,04/08/2020,617,29,467,41.6086,21.7453
,Norway,04/08/2020,6086,101,16,60.472,8.4689
,Oman,04/08/2020,419,2,0,21,57
,Pakistan,04/08/2020,4263,61,15,30.3753,69.3451
,Panama,04/08/2020,2249,59,1333,8.538,-80.7821
,Papua New Guinea,04/08/2020,2,0,96,-6.315,143.9555
,Paraguay,04/08/2020,119,5,222,-23.4425,-58.4438
,Peru,04/08/2020,4342,121,196,-9.19,-75.0152
,Philippines,04/08/2020,3870,182,178,13,122
,Poland,04/08/2020,5205,159,528,51.9194,19.1451
,Portugal,04/08/2020,13141,380,580,39.3999,-8.2245
,Qatar,04/08/2020,2210,6,7,25.3548,51.1839
,Romania,04/08/2020,4761,220,0,45.9432,24.9668
,Russia,04/08/2020,8672,63,1,60,90
,Rwanda,04/08/2020,110,0,1,-1.9403,29.8739
,Saint Lucia,04/08/2020,14,0,40,13.9094,-60.9789
,Saint Vincent and the Grenadines,04/08/2020,8,0,631,12.9843,-61.2872
,San Marino,04/08/2020,279,34,113,43.9424,12.4578
,Saudi Arabia,04/08/2020,2932,41,0,24,45
,Senegal,04/08/2020,244,2,0,14.4974,-14.4524
,Serbia,04/08/2020,2666,65,406,44.0165,21.0059
,Seychelles,04/08/2020,11,0,16,-4.6796,55.492
,Singapore,04/08/2020,1623,6,120,1.2833,103.8333
,Slovakia,04/08/2020,682,2,1,48.669,19.699
,Slovenia,04/08/2020,1091,40,95,46.1512,14.9955
,Somalia,04/08/2020,12,1,48021,5.1521,46.1996
,South Africa,04/08/2020,1845,18,44,-30.5595,22.9375
,Spain,04/08/2020,148220,14792,2,40,-4
,Sri Lanka,04/08/2020,189,7,3,7,81
,Sudan,04/08/2020,14,2,205,12.8628,30.2176
,Suriname,04/08/2020,10,1,9800,3.9193,-56.0278
,Sweden,04/08/2020,8419,687,4,63,16
,Switzerland,04/08/2020,23280,895,61,46.8182,8.2275
,Taiwan*,04/08/2020,379,5,5,23.7,121
,Tanzania,04/08/2020,25,1,888,-6.369,34.8888
,Thailand,04/08/2020,2369,30,0,15,101
,Togo,04/08/2020,70,3,23,8.6195,0.8248
,Trinidad and Tobago,04/08/2020,107,8,1,10.6918,-61.2225
,Tunisia,04/08/2020,628,24,25,34,9
,Turkey,04/08/2020,38226,812,1846,38.9637,35.2433
,Uganda,04/08/2020,53,0,0,1,32
,Ukraine,04/08/2020,1668,52,35,48.3794,31.1656
,United Arab Emirates,04/08/2020,2659,12,239,24,54
Bermuda,United Kingdom,04/08/2020,39,3,23,32.3078,-64.7505
Cayman Islands,United Kingdom,04/08/2020,45,1,6,19.3133,-81.2546
Channel Islands,United Kingdom,04/08/2020,351,8,38,49.3723,-2.3644
Gibraltar,United Kingdom,04/08/2020,120,0,60,36.1408,-5.3536
Isle of Man,United Kingdom,04/08/2020,158,1,82,54.2361,-4.5481
Montserrat,United Kingdom,04/08/2020,9,0,0,16.7425,-62.1874
,United Kingdom,04/08/2020,60733,7097,135,55.3781,-3.436
,Uruguay,04/08/2020,424,7,150,-32.5228,-55.7658
,US,04/08/2020,429052,14695,23559,37.0902,-95.7129
,Uzbekistan,04/08/2020,545,3,30,41.3775,64.5853
,Venezuela,04/08/2020,167,9,65,6.4238,-66.5897
,Vietnam,04/08/2020,251,0,126,16,108
,Zambia,04/08/2020,39,1,7,-15.4167,28.2833
,Zimbabwe,04/08/2020,11,3,0,-20,30
Diamond Princess,Canada,04/08/2020,0,1,44,0,0
,Dominica,04/08/2020,15,0,0,15.415,-61.371
,Grenada,04/08/2020,12,0,30,12.1165,-61.679
,Mozambique,04/08/2020,17,0,0,-18.665695,35.529562
,Syria,04/08/2020,19,2,0,34.802075,38.996815
,Timor-Leste,04/08/2020,1,0,0,-8.874217,125.727539
,Belize,04/08/2020,8,1,0,13.1939,-59.5432
Recovered,Canada,04/08/2020,0,0,0,0,0
,Laos,04/08/2020,15,0,0,19.85627,102.495496
,Libya,04/08/2020,21,1,0,26.3351,17.228331
,West Bank and Gaza,04/08/2020,263,1,0,31.9522,35.2332
,Guinea-Bissau,04/08/2020,33,0,0,11.8037,-15.1804
,Mali,04/08/2020,59,7,0,17.570692,-3.996166
,Saint Kitts and Nevis,04/08/2020,11,0,1,17.357822,-62.782998
Northwest Territories,Canada,04/08/2020,5,0,0,64.8255,-124.8457
Yukon,Canada,04/08/2020,7,0,0,64.2823,-135
,Kosovo,04/08/2020,184,5,0,42.602636,20.902977
,Burma,04/08/2020,22,3,0,21.9162,95.956
Anguilla,United Kingdom,04/08/2020,3,0,,18.2206,-63.0686
