Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/10/2020,521,15,32,33,65
,Albania,04/10/2020,416,23,182,41.1533,20.1683
,Algeria,04/10/2020,1761,256,405,28.0339,1.6596
,Andorra,04/10/2020,601,26,71,42.5063,1.5218
,Angola,04/10/2020,19,2,2,-11.2027,17.8739
,Antigua and Barbuda,04/10/2020,19,2,0,17.0608,-61.7964
,Argentina,04/10/2020,1975,82,375,-38.4161,-63.6167
,Armenia,04/10/2020,937,12,149,40.0691,45.0382
Australian Capital Territory,Australia,04/10/2020,103,2,59,-35.4735,149.0124
New South Wales,Australia,04/10/2020,2822,22,4,-33.8688,151.2093
Northern Territory,Australia,04/10/2020,28,0,2,-12.4634,130.8456
Queensland,Australia,04/10/2020,965,4,372,-28.0167,153.4
South Australia,Australia,04/10/2020,428,3,179,-34.9285,138.6007
Tasmania,Australia,04/10/2020,122,4,48,-41.4545,145.9707
Victoria,Australia,04/10/2020,1241,13,926,-37.8136,144.9631
Western Australia,Australia,04/10/2020,506,6,203,-31.9505,115.8605
,Austria,04/10/2020,13555,319,6064,47.5162,14.5501
,Azerbaijan,04/10/2020,991,10,159,40.1431,47.5769
,Bahamas,04/10/2020,42,8,5,25.0343,-77.3963
,Bahrain,04/10/2020,925,6,539,26.0275,50.55
,Bangladesh,04/10/2020,482,30,36,23.685,90.3563
,Barbados,04/10/2020,67,4,11,13.1939,-59.5432
,Belarus,04/10/2020,1981,19,169,53.7098,27.9534
,Belgium,04/10/2020,26667,3019,5568,50.8333,4
,Benin,04/10/2020,35,1,0,9.3077,2.3158
,Bhutan,04/10/2020,5,0,5,27.5142,90.4336
,Bolivia,04/10/2020,268,19,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/10/2020,901,36,2,43.9159,17.6791
,Brazil,04/10/2020,19638,1057,129,-14.235,-51.9253
,Brunei,04/10/2020,136,1,173,4.5353,114.7277
,Bulgaria,04/10/2020,635,25,99,42.7339,25.4858
,Burkina Faso,04/10/2020,443,24,54,12.2383,-1.5616
,Cabo Verde,04/10/2020,7,1,146,16.5388,-23.0418
,Cambodia,04/10/2020,119,0,1,11.55,104.9167
,Cameroon,04/10/2020,820,12,72,3.848,11.5021
Alberta,Canada,04/10/2020,1451,32,98,53.9333,-116.5765
British Columbia,Canada,04/10/2020,1370,50,5855,49.2827,-123.1207
Grand Princess,Canada,04/10/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,04/10/2020,230,3,2,53.7609,-98.8139
New Brunswick,Canada,04/10/2020,112,0,1571,46.5653,-66.4619
