Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Oregon,US,03/23/2020,161,4,0,44.572,-122.0709
Texas,US,03/23/2020,627,6,0,31.0545,-97.5635
Illinois,US,03/23/2020,1049,9,0,40.3495,-88.9861
Pennsylvania,US,03/23/2020,509,3,0,40.5908,-77.2098
Iowa,US,03/23/2020,90,0,0,42.0115,-93.2105
Maryland,US,03/23/2020,244,3,0,39.0639,-76.8021
North Carolina,US,03/23/2020,302,0,0,35.6301,-79.8064
South Carolina,US,03/23/2020,196,3,0,33.8569,-80.945
Tennessee,US,03/23/2020,505,2,0,35.7478,-86.6923
Virginia,US,03/23/2020,221,6,0,37.7693,-78.17
Arizona,US,03/23/2020,152,2,0,33.7298,-111.4312
Indiana,US,03/23/2020,201,6,0,39.8494,-86.2583
Kentucky,US,03/23/2020,99,3,0,37.6681,-84.6701
District of Columbia,US,03/23/2020,102,2,0,38.8974,-77.0268
Nevada,US,03/23/2020,190,2,0,38.3135,-117.0554
New Hampshire,US,03/23/2020,65,0,0,43.4525,-71.5639
Minnesota,US,03/23/2020,169,1,0,45.6945,-93.9002
Nebraska,US,03/23/2020,51,0,0,41.1254,-98.2681
Ohio,US,03/23/2020,355,3,0,40.3888,-82.7649
Rhode Island,US,03/23/2020,83,0,0,41.6809,-71.5118
Wisconsin,US,03/23/2020,381,4,0,44.2685,-89.6165
Connecticut,US,03/23/2020,223,5,0,41.5978,-72.7554
Hawaii,US,03/23/2020,48,0,0,21.0943,-157.4983
Oklahoma,US,03/23/2020,67,2,0,35.5653,-96.9289
Utah,US,03/23/2020,181,1,0,40.15,-111.8624
,Burkina Faso,03/23/2020,75,4,5,12.2383,-1.5616
,Holy See,03/23/2020,1,0,0,41.9029,12.4534
,Mongolia,03/23/2020,10,0,0,46.8625,103.8467
,Panama,03/23/2020,245,3,0,8.538,-80.7821
Kansas,US,03/23/2020,64,2,0,38.5266,-96.7265
Louisiana,US,03/23/2020,837,20,0,31.1695,-91.8678
Missouri,US,03/23/2020,100,3,0,38.4561,-92.2884
Vermont,US,03/23/2020,52,2,0,44.0459,-72.7107
Alaska,US,03/23/2020,21,0,0,61.3707,-152.4044
Arkansas,US,03/23/2020,165,0,0,34.9697,-92.3731
Delaware,US,03/23/2020,47,0,0,39.3185,-75.5071
Idaho,US,03/23/2020,42,0,0,44.2405,-114.4788
Maine,US,03/23/2020,89,0,0,44.6939,-69.3819
Michigan,US,03/23/2020,1037,9,0,43.3266,-84.5361
Mississippi,US,03/23/2020,207,1,0,32.7416,-89.6787
