Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Equatorial Guinea,03/23/2020,6,0,0,1.5,10
Mayotte,France,03/23/2020,0,0,0,-12.8275,45.1662
,Uzbekistan,03/23/2020,43,0,0,41.3775,64.5853
Netherlands,Netherlands,03/23/2020,4204,179,2,52.1326,5.2913
Nova Scotia,Canada,03/23/2020,28,0,0,44.682,-63.7443
Guadeloupe,France,03/23/2020,0,0,0,16.25,-61.5833
,Benin,03/23/2020,2,0,0,9.3077,2.3158
,Liberia,03/23/2020,3,0,0,6.4281,-9.4295
Curacao,Netherlands,03/23/2020,3,1,0,12.1696,-68.99
,Somalia,03/23/2020,1,0,0,5.1521,46.1996
,Tanzania,03/23/2020,12,0,0,-6.369,34.8888
Virgin Islands,US,03/23/2020,,,,18.3358,-64.8963
Cayman Islands,United Kingdom,03/23/2020,3,1,0,19.3133,-81.2546
Reunion,France,03/23/2020,0,0,0,-21.1351,55.2471
,Barbados,03/23/2020,14,0,0,13.1939,-59.5432
,Montenegro,03/23/2020,21,0,0,42.5,19.3
,Kyrgyzstan,03/23/2020,14,0,0,41.2044,74.7661
,Mauritius,03/23/2020,18,1,0,-20.2,57.5
Aruba,Netherlands,03/23/2020,8,0,0,12.5186,-70.0358
,Zambia,03/23/2020,3,0,0,-15.4167,28.2833
,Djibouti,03/23/2020,1,0,0,11.8251,42.5903
,"Gambia, The",03/23/2020,1,0,0,13.4432,-15.3101
Montserrat,United Kingdom,03/23/2020,1,0,0,16.7425,-62.1874
,"Bahamas, The",03/23/2020,4,0,0,25.0343,-77.3963
Greenland,Denmark,03/23/2020,4,0,0,71.7069,-42.6043
New Caledonia,France,03/23/2020,4,0,0,-20.9043,165.618
Bermuda,United Kingdom,03/23/2020,2,0,0,32.3078,-64.7505
,Chad,03/23/2020,1,0,0,15.4542,18.7322
,El Salvador,03/23/2020,3,0,0,13.7942,-88.8965
,Fiji,03/23/2020,2,0,0,-17.7134,178.065
,Nicaragua,03/23/2020,2,0,0,12.8654,-85.2072
,Madagascar,03/23/2020,3,0,0,-18.7669,46.8691
,Haiti,03/23/2020,2,0,0,18.9712,-72.2852
,Angola,03/23/2020,2,0,0,-11.2027,17.8739
,Cabo Verde,03/23/2020,3,0,0,16.5388,-23.0418
Sint Maarten,Netherlands,03/23/2020,1,0,0,18.0425,-63.0548
,Niger,03/23/2020,2,0,0,17.6078,8.0817
,Papua New Guinea,03/23/2020,1,0,0,-6.315,143.9555
Isle of Man,United Kingdom,03/23/2020,5,0,0,54.2361,-4.5481
,Zimbabwe,03/23/2020,3,0,0,-20,30
Northwest Territories,Canada,03/23/2020,1,0,0,64.8255,-124.8457
,Cape Verde,03/23/2020,0,0,0,15.1111,-23.6167
,East Timor,03/23/2020,0,0,0,-8.55,125.56
,Eritrea,03/23/2020,1,0,0,15.1794,39.7823
,Uganda,03/23/2020,1,0,0,1,32
,Dominica,03/23/2020,1,0,0,15.415,-61.371
,Grenada,03/23/2020,1,0,0,12.1165,-61.679
,Mozambique,03/23/2020,1,0,0,-18.6657,35.5296
,Syria,03/23/2020,1,0,0,34.8021,38.9968
,Timor-Leste,03/23/2020,1,0,0,-8.8742,125.7275
,Guadeloupe,03/23/2020,56,0,0,16.265,-61.551
,Reunion,03/23/2020,47,0,0,-21.1151,55.5364
,French Guiana,03/23/2020,18,0,6,3.9339,-53.1258
,Mayotte,03/23/2020,11,0,0,-12.8275,45.1662
United States Virgin Islands,US,03/23/2020,6,0,0,18.3358,-64.8963
US,US,03/23/2020,1,0,178,37.0902,-95.7129
,Greenland,03/23/2020,0,0,0,72,-40
,Guam,03/23/2020,0,1,0,13.4443,144.7937
,Guernsey,03/23/2020,0,0,0,49.45,-2.58
,Jersey,03/23/2020,0,0,0,49.19,-2.11
,Puerto Rico,03/23/2020,0,1,0,18.2,-66.5
,Republic of the Congo,03/23/2020,0,0,0,-1.44,15.556
,The Bahamas,03/23/2020,0,0,0,24.25,-76
,The Gambia,03/23/2020,0,0,0,13.4667,-16.6
