Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,03/25/2020,84,2,1,33,65
,Albania,03/25/2020,146,5,10,41.1533,20.1683
,Algeria,03/25/2020,302,21,24,28.0339,1.6596
,Andorra,03/25/2020,188,1,1,42.5063,1.5218
,Angola,03/25/2020,3,0,0,-11.2027,17.8739
,Antigua and Barbuda,03/25/2020,3,0,0,17.0608,-61.7964
,Argentina,03/25/2020,387,8,52,-38.4161,-63.6167
,Armenia,03/25/2020,265,0,14,40.0691,45.0382
Australian Capital Territory,Australia,03/25/2020,39,0,0,-35.4735,149.0124
New South Wales,Australia,03/25/2020,1029,7,1,-33.8688,151.2093
Northern Territory,Australia,03/25/2020,6,0,4,-12.4634,130.8456
Queensland,Australia,03/25/2020,443,0,0,-28.0167,153.4
South Australia,Australia,03/25/2020,170,0,8,-34.9285,138.6007
Tasmania,Australia,03/25/2020,36,0,3,-41.4545,145.9707
Victoria,Australia,03/25/2020,466,0,3,-37.8136,144.9631
Western Australia,Australia,03/25/2020,175,1,97,-31.9505,115.8605
,Austria,03/25/2020,5588,30,0,47.5162,14.5501
,Azerbaijan,03/25/2020,93,2,9,40.1431,47.5769
,Bahamas,03/25/2020,5,0,10,25.0343,-77.3963
,Bahrain,03/25/2020,419,4,1,26.0275,50.55
,Bangladesh,03/25/2020,39,5,177,23.685,90.3563
,Barbados,03/25/2020,18,0,5,13.1939,-59.5432
,Belarus,03/25/2020,86,0,0,53.7098,27.9534
,Belgium,03/25/2020,4937,178,22,50.8333,4
,Benin,03/25/2020,6,0,461,9.3077,2.3158
,Bhutan,03/25/2020,2,0,0,27.5142,90.4336
,Bolivia,03/25/2020,32,0,0,-16.2902,-63.5887
,Bosnia and Herzegovina,03/25/2020,176,3,0,43.9159,17.6791
,Brazil,03/25/2020,2554,59,2,-14.235,-51.9253
,Brunei,03/25/2020,109,0,2,4.5353,114.7277
,Bulgaria,03/25/2020,242,3,2,42.7339,25.4858
,Burkina Faso,03/25/2020,146,4,3,12.2383,-1.5616
,Cabo Verde,03/25/2020,4,1,7,16.5388,-23.0418
,Cambodia,03/25/2020,96,0,0,11.55,104.9167
,Cameroon,03/25/2020,75,1,4,3.848,11.5021
Alberta,Canada,03/25/2020,358,2,0,53.9333,-116.5765
British Columbia,Canada,03/25/2020,617,13,110,49.2827,-123.1207
Grand Princess,Canada,03/25/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,03/25/2020,35,0,0,53.7609,-98.8139
New Brunswick,Canada,03/25/2020,18,0,0,46.5653,-66.4619
Newfoundland and Labrador,Canada,03/25/2020,35,0,17,53.1355,-57.6604
Nova Scotia,Canada,03/25/2020,68,0,984,44.682,-63.7443
Ontario,Canada,03/25/2020,688,8,401,51.2538,-85.3232
Prince Edward Island,Canada,03/25/2020,5,0,570,46.5107,-63.4168
Quebec,Canada,03/25/2020,1342,6,295,52.9399,-73.5491
Saskatchewan,Canada,03/25/2020,72,0,119,52.9399,-106.4509
,Central African Republic,03/25/2020,3,0,1333,6.6111,20.9394
,Chad,03/25/2020,3,0,250,15.4542,18.7322
,Chile,03/25/2020,1142,3,144,-35.6751,-71.543
Anhui,China,03/25/2020,990,6,168,31.8257,117.2264
Beijing,China,03/25/2020,561,8,310,40.1824,116.4142
Chongqing,China,03/25/2020,578,6,468,30.0572,107.874
Fujian,China,03/25/2020,322,1,1250,26.0789,117.9874
Gansu,China,03/25/2020,136,2,101,37.8099,101.0583
Guangdong,China,03/25/2020,1433,8,60324,23.3417,113.4244
Guangxi,China,03/25/2020,254,2,1014,23.8298,108.7881
Guizhou,China,03/25/2020,146,2,74,26.8154,106.8748
Hainan,China,03/25/2020,168,6,631,19.1959,109.7453
Hebei,China,03/25/2020,319,6,934,39.549,116.1306
Heilongjiang,China,03/25/2020,484,13,92,47.862,127.7615
Henan,China,03/25/2020,1274,22,124,33.882,113.614
Hong Kong,China,03/25/2020,410,4,10,22.3,114.2
Hubei,China,03/25/2020,67801,3163,75,30.9756,112.2707
Hunan,China,03/25/2020,1018,4,18,27.6104,111.7088
Inner Mongolia,China,03/25/2020,77,1,240,44.0935,113.9448
Jiangsu,China,03/25/2020,638,0,752,32.9711,119.455
Jiangxi,China,03/25/2020,936,1,330,27.614,115.7221
Jilin,China,03/25/2020,94,1,133,43.6661,126.1923
Liaoning,China,03/25/2020,127,2,536,41.2956,122.6085
Macau,China,03/25/2020,30,0,133,22.1667,113.55
Ningxia,China,03/25/2020,75,0,1,37.2692,106.1655
Qinghai,China,03/25/2020,18,0,73,35.7452,95.9956
Shaanxi,China,03/25/2020,250,3,172,35.1917,108.8701
Shandong,China,03/25/2020,769,7,1221,36.3427,118.1498
Shanghai,China,03/25/2020,433,5,6,31.202,121.4491
Shanxi,China,03/25/2020,134,0,0,37.5777,112.2922
Sichuan,China,03/25/2020,547,3,0,30.6171,102.7103
Tianjin,China,03/25/2020,145,3,2,39.3054,117.323
Tibet,China,03/25/2020,1,0,2,31.6927,88.0924
Xinjiang,China,03/25/2020,76,3,5,41.1129,85.2401
Yunnan,China,03/25/2020,176,2,325,24.974,101.487
Zhejiang,China,03/25/2020,1241,1,1,29.1832,120.0934
,Colombia,03/25/2020,470,4,3,4.5709,-74.2973
,Congo (Brazzaville),03/25/2020,4,0,10,-4.0383,21.7587
,Congo (Kinshasa),03/25/2020,48,2,1,-4.0383,21.7587
,Costa Rica,03/25/2020,201,2,33,9.7489,-83.7534
,Cote d'Ivoire,03/25/2020,80,0,2,7.54,-5.5471
,Croatia,03/25/2020,442,1,0,45.1,15.2
,Diamond Princess,03/25/2020,712,10,0,0,0
,Cuba,03/25/2020,57,1,3,22,-80
,Cyprus,03/25/2020,132,3,3,35.1264,33.4299
,Czechia,03/25/2020,1654,6,80,49.8175,15.473
Faroe Islands,Denmark,03/25/2020,132,0,0,61.8926,-6.9118
Greenland,Denmark,03/25/2020,6,0,0,71.7069,-42.6043
,Denmark,03/25/2020,1724,34,0,56.2639,9.5018
,Djibouti,03/25/2020,11,0,7,11.8251,42.5903
,Dominican Republic,03/25/2020,392,10,0,18.7357,-70.1627
,Ecuador,03/25/2020,1173,28,0,-1.8312,-78.1834
,Egypt,03/25/2020,456,21,0,26,30
,El Salvador,03/25/2020,9,0,10,13.7942,-88.8965
,Equatorial Guinea,03/25/2020,9,0,3243,1.5,10
,Eritrea,03/25/2020,4,0,6,15.1794,39.7823
,Estonia,03/25/2020,404,1,0,58.5953,25.0136
,Eswatini,03/25/2020,4,0,0,-26.5225,31.4659
,Ethiopia,03/25/2020,12,0,0,9.145,40.4897
,Fiji,03/25/2020,5,0,0,-17.7134,178.065
,Finland,03/25/2020,880,3,0,64,26
French Guiana,France,03/25/2020,28,0,1,3.9339,-53.1258
French Polynesia,France,03/25/2020,25,0,0,-17.6797,149.4068
Guadeloupe,France,03/25/2020,73,1,0,16.25,-61.5833
Mayotte,France,03/25/2020,36,0,0,-12.8275,45.1662
New Caledonia,France,03/25/2020,14,0,0,-20.9043,165.618
Reunion,France,03/25/2020,111,0,9,-21.1351,55.2471
Saint Barthelemy,France,03/25/2020,3,0,3243,17.9,-62.8333
St Martin,France,03/25/2020,11,0,0,18.0708,-63.0501
Martinique,France,03/25/2020,66,1,29,14.6415,-61.0242
,France,03/25/2020,25233,1331,0,46.2276,2.2137
,Gabon,03/25/2020,6,1,0,-0.8037,11.6094
,Gambia,03/25/2020,3,1,0,13.4432,-15.3101
,Georgia,03/25/2020,75,0,0,42.3154,43.3569
,Germany,03/25/2020,37323,206,0,51,9
,Ghana,03/25/2020,93,4,0,7.9465,-1.0232
,Greece,03/25/2020,821,22,0,39.0742,21.8243
,Guatemala,03/25/2020,24,1,21,15.7835,-90.2308
,Guinea,03/25/2020,4,0,51,9.9456,-9.6966
,Guyana,03/25/2020,5,1,40,5,-58.75
,Haiti,03/25/2020,8,0,30,18.9712,-72.2852
,Holy See,03/25/2020,4,0,8913,41.9029,12.4534
