Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Equatorial Guinea,04/17/2020,79,0,0,1.5,10
,Eritrea,04/17/2020,35,0,67,15.1794,39.7823
,Estonia,04/17/2020,1459,38,73,58.5953,25.0136
,Eswatini,04/17/2020,16,1,117,-26.5225,31.4659
,Ethiopia,04/17/2020,96,3,14,9.145,40.4897
,Fiji,04/17/2020,17,0,237,-17.7134,178.065
,Finland,04/17/2020,3489,82,4,64,26
French Guiana,France,04/17/2020,96,0,13,3.9339,-53.1258
French Polynesia,France,04/17/2020,55,0,34420,-17.6797,149.4068
Guadeloupe,France,04/17/2020,145,8,7,16.25,-61.5833
Mayotte,France,04/17/2020,245,4,2,-12.8275,45.1662
New Caledonia,France,04/17/2020,18,0,79,-20.9043,165.618
Reunion,France,04/17/2020,402,0,83114,-21.1351,55.2471
Saint Barthelemy,France,04/17/2020,6,0,83,17.9,-62.8333
St Martin,France,04/17/2020,35,2,6,18.0708,-63.0501
Martinique,France,04/17/2020,158,8,269,14.6415,-61.0242
,France,04/17/2020,147969,18681,21,46.2276,2.2137
,Gabon,04/17/2020,108,1,59,-0.8037,11.6094
,Gambia,04/17/2020,9,1,0,13.4432,-15.3101
,Georgia,04/17/2020,370,3,9,42.3154,43.3569
,Germany,04/17/2020,141397,4352,0,51,9
,Ghana,04/17/2020,641,8,2,7.9465,-1.0232
,Greece,04/17/2020,2224,108,10,39.0742,21.8243
,Guatemala,04/17/2020,214,7,207,15.7835,-90.2308
,Guinea,04/17/2020,477,3,1224,9.9456,-9.6966
,Guyana,04/17/2020,63,6,2041,5,-58.75
,Haiti,04/17/2020,43,3,607,18.9712,-72.2852
,Holy See,04/17/2020,8,0,54064,41.9029,12.4534
,Honduras,04/17/2020,442,41,906,15.2,-86.2419
,Hungary,04/17/2020,1763,156,77,47.1625,19.5033
,Iceland,04/17/2020,1754,9,3126,64.9631,-19.0208
,India,04/17/2020,14352,486,42727,21,78
,Indonesia,04/17/2020,5923,520,25,-0.7893,113.9213
,Iran,04/17/2020,79494,4958,935,32,53
,Iraq,04/17/2020,1482,81,265,33,44
,Ireland,04/17/2020,13980,530,347,53.1424,-7.6921
,Israel,04/17/2020,12982,151,53,31,35
,Italy,04/17/2020,172434,22745,7829,43,12
,Jamaica,04/17/2020,143,5,258,18.1096,-77.2975
,Japan,04/17/2020,9787,190,114,36,138
,Jordan,04/17/2020,407,7,88,31.24,36.51
,Kazakhstan,04/17/2020,1546,17,86,48.0196,66.9237
,Kenya,04/17/2020,246,11,7,-0.0236,37.9062
,"Korea, South",04/17/2020,10635,230,11,36,128
,Kuwait,04/17/2020,1658,5,55,29.5,47.75
,Kyrgyzstan,04/17/2020,489,5,210,41.2044,74.7661
,Latvia,04/17/2020,682,5,579,56.8796,24.6032
,Lebanon,04/17/2020,668,21,33,33.8547,35.8623
,Liberia,04/17/2020,76,7,2967,6.4281,-9.4295
,Liechtenstein,04/17/2020,79,1,16,47.14,9.55
,Lithuania,04/17/2020,1149,33,34,55.1694,23.8813
,Luxembourg,04/17/2020,3480,72,91,49.8153,6.1296
,Madagascar,04/17/2020,117,0,2,-18.7669,46.8691
,Malaysia,04/17/2020,5251,86,108,2.5,112.5
,Maldives,04/17/2020,28,0,2125,3.2028,73.2207
,Malta,04/17/2020,422,3,276,35.9375,14.3754
,Mauritania,04/17/2020,7,1,20,21.0079,10.9408
,Mauritius,04/17/2020,324,9,5,-20.2,57.5
,Mexico,04/17/2020,6297,486,55,23.6345,-102.5528
,Moldova,04/17/2020,2264,56,281,47.4116,28.3699
,Monaco,04/17/2020,94,3,2,43.7333,7.4167
,Mongolia,04/17/2020,31,0,4,46.8625,103.8467
,Montenegro,04/17/2020,303,5,2,42.5,19.3
,Morocco,04/17/2020,2564,135,43,31.7917,-7.0926
,Namibia,04/17/2020,16,0,10,-22.9576,18.4904
,Nepal,04/17/2020,30,0,12,28.1667,84.25
Aruba,Netherlands,04/17/2020,96,2,250,12.5186,-70.0358
Curacao,Netherlands,04/17/2020,14,1,816,12.1696,-68.99
Sint Maarten,Netherlands,04/17/2020,57,9,4,18.0425,-63.0548
,Netherlands,04/17/2020,30449,3459,110,52.1326,5.2913
,New Zealand,04/17/2020,1409,11,159,-40.9006,174.886
,Nicaragua,04/17/2020,9,1,139,12.8654,-85.2072
,Niger,04/17/2020,627,18,32,17.6078,8.0817
,Nigeria,04/17/2020,493,17,176,9.082,8.6753
,North Macedonia,04/17/2020,1117,49,1765,41.6086,21.7453
,Norway,04/17/2020,6937,161,98,60.472,8.4689
,Oman,04/17/2020,1069,6,0,21,57
,Pakistan,04/17/2020,7025,135,30,30.3753,69.3451
,Panama,04/17/2020,4016,109,6541,8.538,-80.7821
,Papua New Guinea,04/17/2020,7,0,487,-6.315,143.9555
,Paraguay,04/17/2020,199,8,866,-23.4425,-58.4438
,Peru,04/17/2020,13489,300,519,-9.19,-75.0152
,Philippines,04/17/2020,5878,387,464,13,122
,Poland,04/17/2020,8379,332,1508,51.9194,19.1451
,Portugal,04/17/2020,19022,657,2590,39.3999,-8.2245
,Qatar,04/17/2020,4663,7,65,25.3548,51.1839
,Romania,04/17/2020,8067,411,0,45.9432,24.9668
,Russia,04/17/2020,32008,273,11,60,90
,Rwanda,04/17/2020,143,0,1,-1.9403,29.8739
,Saint Lucia,04/17/2020,15,0,57,13.9094,-60.9789
,Saint Vincent and the Grenadines,04/17/2020,12,0,1049,12.9843,-61.2872
,San Marino,04/17/2020,435,39,198,43.9424,12.4578
,Saudi Arabia,04/17/2020,7142,87,534,24,45
,Senegal,04/17/2020,342,2,5,14.4974,-14.4524
,Serbia,04/17/2020,5690,110,708,44.0165,21.0059
,Seychelles,04/17/2020,11,0,175,-4.6796,55.492
,Singapore,04/17/2020,5050,11,174,1.2833,103.8333
,Slovakia,04/17/2020,1049,9,2,48.669,19.699
,Slovenia,04/17/2020,1304,66,903,46.1512,14.9955
,Somalia,04/17/2020,116,6,74797,5.1521,46.1996
,South Africa,04/17/2020,2783,50,77,-30.5595,22.9375
,Spain,04/17/2020,190839,20002,4,40,-4
,Sri Lanka,04/17/2020,244,7,6,7,81
,Sudan,04/17/2020,33,6,550,12.8628,30.2176
,Suriname,04/17/2020,10,1,16400,3.9193,-56.0278
,Sweden,04/17/2020,13216,1400,5,63,16
,Switzerland,04/17/2020,27078,1327,166,46.8182,8.2275
,Taiwan*,04/17/2020,395,6,11,23.7,121
,Tanzania,04/17/2020,147,5,1689,-6.369,34.8888
,Thailand,04/17/2020,2700,47,1,15,101
,Togo,04/17/2020,83,5,48,8.6195,0.8248
,Trinidad and Tobago,04/17/2020,114,8,20,10.6918,-61.2225
,Tunisia,04/17/2020,864,37,43,34,9
,Turkey,04/17/2020,78546,1769,8631,38.9637,35.2433
,Uganda,04/17/2020,56,0,20,1,32
,Ukraine,04/17/2020,4662,125,246,48.3794,31.1656
,United Arab Emirates,04/17/2020,6302,37,1188,24,54
Bermuda,United Kingdom,04/17/2020,83,5,35,32.3078,-64.7505
Cayman Islands,United Kingdom,04/17/2020,61,1,7,19.3133,-81.2546
Channel Islands,United Kingdom,04/17/2020,470,20,73,49.3723,-2.3644
Gibraltar,United Kingdom,04/17/2020,132,0,105,36.1408,-5.3536
Isle of Man,United Kingdom,04/17/2020,291,4,169,54.2361,-4.5481
Montserrat,United Kingdom,04/17/2020,11,0,1,16.7425,-62.1874
,United Kingdom,04/17/2020,108692,14576,0,55.3781,-3.436
,Uruguay,04/17/2020,502,9,286,-32.5228,-55.7658
,US,04/17/2020,699706,36773,58545,37.0902,-95.7129
,Uzbekistan,04/17/2020,1405,4,156,41.3775,64.5853
,Venezuela,04/17/2020,204,9,111,6.4238,-66.5897
,Vietnam,04/17/2020,268,0,198,16,108
,Zambia,04/17/2020,52,2,30,-15.4167,28.2833
,Zimbabwe,04/17/2020,24,3,2,-20,30
Diamond Princess,Canada,04/17/2020,-1,-1,69,0,0
,Dominica,04/17/2020,16,0,2,15.415,-61.371
,Grenada,04/17/2020,14,0,84,12.1165,-61.679
,Mozambique,04/17/2020,34,0,5,-18.665695,35.529562
,Syria,04/17/2020,38,2,1,34.802075,38.996815
,Timor-Leste,04/17/2020,18,0,2,-8.874217,125.727539
,Belize,04/17/2020,18,2,0,13.1939,-59.5432
Recovered,Canada,04/17/2020,0,0,0,0,0
,Laos,04/17/2020,19,0,0,19.85627,102.495496
,Libya,04/17/2020,49,1,0,26.3351,17.228331
,West Bank and Gaza,04/17/2020,402,2,0,31.9522,35.2332
,Guinea-Bissau,04/17/2020,43,0,0,11.8037,-15.1804
,Mali,04/17/2020,171,13,3,17.570692,-3.996166
,Saint Kitts and Nevis,04/17/2020,14,0,1,17.357822,-62.782998
Northwest Territories,Canada,04/17/2020,5,0,0,64.8255,-124.8457
