Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/04/2020,299,7,10,33,65
,Albania,04/04/2020,333,20,99,41.1533,20.1683
,Algeria,04/04/2020,1251,130,90,28.0339,1.6596
,Andorra,04/04/2020,466,17,21,42.5063,1.5218
,Angola,04/04/2020,10,2,2,-11.2027,17.8739
,Antigua and Barbuda,04/04/2020,15,0,0,17.0608,-61.7964
,Argentina,04/04/2020,1451,43,279,-38.4161,-63.6167
,Armenia,04/04/2020,770,7,43,40.0691,45.0382
Australian Capital Territory,Australia,04/04/2020,93,2,18,-35.4735,149.0124
New South Wales,Australia,04/04/2020,2493,12,4,-33.8688,151.2093
Northern Territory,Australia,04/04/2020,26,0,1,-12.4634,130.8456
Queensland,Australia,04/04/2020,900,4,8,-28.0167,153.4
South Australia,Australia,04/04/2020,407,0,46,-34.9285,138.6007
Tasmania,Australia,04/04/2020,80,2,5,-41.4545,145.9707
Victoria,Australia,04/04/2020,1115,8,527,-37.8136,144.9631
Western Australia,Australia,04/04/2020,436,2,92,-31.9505,115.8605
,Austria,04/04/2020,11781,186,2507,47.5162,14.5501
,Azerbaijan,04/04/2020,521,5,32,40.1431,47.5769
,Bahamas,04/04/2020,28,4,0,25.0343,-77.3963
,Bahrain,04/04/2020,688,4,423,26.0275,50.55
,Bangladesh,04/04/2020,70,8,30,23.685,90.3563
,Barbados,04/04/2020,52,0,0,13.1939,-59.5432
,Belarus,04/04/2020,440,5,53,53.7098,27.9534
,Belgium,04/04/2020,18431,1283,3247,50.8333,4
,Benin,04/04/2020,16,0,0,9.3077,2.3158
,Bhutan,04/04/2020,5,0,2,27.5142,90.4336
,Bolivia,04/04/2020,139,10,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/04/2020,624,21,1,43.9159,17.6791
,Brazil,04/04/2020,10360,445,30,-14.235,-51.9253
,Brunei,04/04/2020,135,1,127,4.5353,114.7277
,Bulgaria,04/04/2020,503,17,66,42.7339,25.4858
,Burkina Faso,04/04/2020,318,16,34,12.2383,-1.5616
,Cabo Verde,04/04/2020,7,1,66,16.5388,-23.0418
,Cambodia,04/04/2020,114,0,0,11.55,104.9167
,Cameroon,04/04/2020,555,9,50,3.848,11.5021
Alberta,Canada,04/04/2020,1075,18,17,53.9333,-116.5765
British Columbia,Canada,04/04/2020,1203,38,2577,49.2827,-123.1207
Grand Princess,Canada,04/04/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,04/04/2020,182,2,0,53.7609,-98.8139
New Brunswick,Canada,04/04/2020,91,0,528,46.5653,-66.4619
Newfoundland and Labrador,Canada,04/04/2020,195,1,984,53.1355,-57.6604
Nova Scotia,Canada,04/04/2020,236,0,438,44.682,-63.7443
Ontario,Canada,04/04/2020,3630,94,570,51.2538,-85.3232
Prince Edward Island,Canada,04/04/2020,22,0,301,46.5107,-63.4168
Quebec,Canada,04/04/2020,6101,61,131,52.9399,-73.5491
Saskatchewan,Canada,04/04/2020,220,3,1378,52.9399,-106.4509
,Central African Republic,04/04/2020,8,0,252,6.6111,20.9394
,Chad,04/04/2020,9,0,144,15.4542,18.7322
,Chile,04/04/2020,4161,27,162,-35.6751,-71.543
Anhui,China,04/04/2020,990,6,310,31.8257,117.2264
Beijing,China,04/04/2020,585,8,469,40.1824,116.4142
Chongqing,China,04/04/2020,579,6,1251,30.0572,107.874
Fujian,China,04/04/2020,350,1,173,26.0789,117.9874
Gansu,China,04/04/2020,138,2,63762,37.8099,101.0583
Guangdong,China,04/04/2020,1516,8,1014,23.3417,113.4244
Guangxi,China,04/04/2020,254,2,74,23.8298,108.7881
Guizhou,China,04/04/2020,146,2,632,26.8154,106.8748
Hainan,China,04/04/2020,168,6,935,19.1959,109.7453
Hebei,China,04/04/2020,326,6,92,39.549,116.1306
Heilongjiang,China,04/04/2020,491,13,125,47.862,127.7615
Henan,China,04/04/2020,1276,22,10,33.882,113.614
Hong Kong,China,04/04/2020,862,4,75,22.3,114.2
Hubei,China,04/04/2020,67803,3207,18,30.9756,112.2707
Hunan,China,04/04/2020,1019,4,245,27.6104,111.7088
Inner Mongolia,China,04/04/2020,117,1,755,44.0935,113.9448
Jiangsu,China,04/04/2020,651,0,356,32.9711,119.455
Jiangxi,China,04/04/2020,937,1,133,27.614,115.7221
Jilin,China,04/04/2020,98,1,538,43.6661,126.1923
Liaoning,China,04/04/2020,141,2,144,41.2956,122.6085
Macau,China,04/04/2020,43,0,1,22.1667,113.55
Ningxia,China,04/04/2020,75,0,73,37.2692,106.1655
Qinghai,China,04/04/2020,18,0,172,35.7452,95.9956
Shaanxi,China,04/04/2020,256,3,1229,35.1917,108.8701
Shandong,China,04/04/2020,778,7,85,36.3427,118.1498
Shanghai,China,04/04/2020,529,6,2,31.202,121.4491
Shanxi,China,04/04/2020,137,0,3,37.5777,112.2922
Sichuan,China,04/04/2020,557,3,13,30.6171,102.7103
Tianjin,China,04/04/2020,180,3,25,39.3054,117.323
Tibet,China,04/04/2020,1,0,119,31.6927,88.0924
Xinjiang,China,04/04/2020,76,3,619,41.1129,85.2401
Yunnan,China,04/04/2020,184,2,15,24.974,101.487
Zhejiang,China,04/04/2020,1262,1,33,29.1832,120.0934
,Colombia,04/04/2020,1406,32,78,4.5709,-74.2973
,Congo (Brazzaville),04/04/2020,22,2,93,-4.0383,21.7587
,Congo (Kinshasa),04/04/2020,154,18,3,-4.0383,21.7587
,Costa Rica,04/04/2020,435,2,1283,9.7489,-83.7534
,Cote d'Ivoire,04/04/2020,245,1,8,7.54,-5.5471
,Croatia,04/04/2020,1126,12,0,45.1,15.2
,Diamond Princess,04/04/2020,712,11,16,0,0
,Cuba,04/04/2020,288,6,100,22,-80
,Cyprus,04/04/2020,426,11,241,35.1264,33.4299
,Czechia,04/04/2020,4472,59,2,49.8175,15.473
Faroe Islands,Denmark,04/04/2020,181,0,1,61.8926,-6.9118
Greenland,Denmark,04/04/2020,11,0,0,71.7069,-42.6043
,Denmark,04/04/2020,4077,161,59,56.2639,9.5018
,Djibouti,04/04/2020,50,0,0,11.8251,42.5903
,Dominican Republic,04/04/2020,1488,68,4,18.7357,-70.1627
,Ecuador,04/04/2020,3465,172,0,-1.8312,-78.1834
,Egypt,04/04/2020,1070,71,300,26,30
,El Salvador,04/04/2020,56,3,22,13.7942,-88.8965
